GeneId:START_ID(Gene),Relation:TYPE,DiseaseId:END_ID(Disease),DSI,DPI,RelationName
58,GeneToDisease,C0546125,0.54,0.769,Relate to
58,GeneToDisease,C0546264,0.54,0.769,Relate to
58,GeneToDisease,C0752282,0.54,0.769,Relate to
58,GeneToDisease,C1834339,0.54,0.769,Relate to
58,GeneToDisease,C1834558,0.54,0.769,Relate to
58,GeneToDisease,C2750537,0.54,0.769,Relate to
58,GeneToDisease,C3645536,0.54,0.769,Relate to
58,GeneToDisease,C3661489,0.54,0.769,Relate to
58,GeneToDisease,C3711389,0.54,0.769,Relate to
58,GeneToDisease,C4225181,0.54,0.769,Relate to
58,GeneToDisease,C4551952,0.54,0.769,Relate to
59,GeneToDisease,C0005398,0.508,0.846,Relate to
59,GeneToDisease,C0006142,0.508,0.846,Relate to
59,GeneToDisease,C0007102,0.508,0.846,Relate to
59,GeneToDisease,C0009375,0.508,0.846,Relate to
59,GeneToDisease,C0014175,0.508,0.846,Relate to
59,GeneToDisease,C0015934,0.508,0.846,Relate to
59,GeneToDisease,C0017668,0.508,0.846,Relate to
59,GeneToDisease,C0019189,0.508,0.846,Relate to
59,GeneToDisease,C0022116,0.508,0.846,Relate to
59,GeneToDisease,C0022658,0.508,0.846,Relate to
59,GeneToDisease,C0023890,0.508,0.846,Relate to
59,GeneToDisease,C0023895,0.508,0.846,Relate to
59,GeneToDisease,C0026654,0.508,0.846,Relate to
59,GeneToDisease,C0027051,0.508,0.846,Relate to
59,GeneToDisease,C0027719,0.508,0.846,Relate to
59,GeneToDisease,C0034069,0.508,0.846,Relate to
59,GeneToDisease,C0036421,0.508,0.846,Relate to
59,GeneToDisease,C0041956,0.508,0.846,Relate to
59,GeneToDisease,C0086432,0.508,0.846,Relate to
59,GeneToDisease,C0149519,0.508,0.846,Relate to
59,GeneToDisease,C0162872,0.508,0.846,Relate to
59,GeneToDisease,C0239946,0.508,0.846,Relate to
